Pi weather station data from codename mulberry, initialised Sun Sep 25 19:26:28 2022
Format YYYY-MM-DDTHH:MM:SS, Temperature [degC], Wind speed [km/h], Rainfall [mm]
Temperature is instantaneous, wind speed is averaged since previous measurement,
rainfall is accumulated since previous measurement.

time,temperature_degC,wind_speed_km/h,rainfall_mm
2022-09-25T21:14:08, 12.3125, 2.15, 0.0
2022-09-25T21:15:09, 12.25, 5.9, 0.0
2022-09-25T21:16:10, 12.25, 5.97, 0.0
2022-09-25T21:17:11, 12.25, 3.45, 0.0
2022-09-25T21:18:12, 12.3125, 2.05, 0.0
2022-09-25T21:19:13, 12.3125, 3.51, 0.0
2022-09-25T21:20:14, 12.1875, 4.08, 0.0
2022-09-25T21:21:15, 12.125, 2.36, 0.0
2022-09-25T21:22:16, 12.0625, 5.2, 0.0
2022-09-25T21:23:16, 11.9375, 3.57, 0.0
2022-09-25T21:24:17, 11.875, 3.35, 0.0
2022-09-25T21:25:18, 11.875, 3.86, 0.0
2022-09-25T21:26:19, 11.8125, 3.88, 0.0
2022-09-25T21:27:20, 11.8125, 3.47, 0.0
2022-09-25T21:28:21, 11.75, 3.57, 0.0
2022-09-25T21:29:22, 11.75, 2.35, 0.0
2022-09-25T21:30:23, 11.75, 4.67, 0.0
2022-09-25T21:31:24, 11.6875, 3.86, 0.0
2022-09-25T21:32:25, 11.6875, 4.5, 0.0
2022-09-25T21:33:26, 11.6875, 3.45, 0.0
2022-09-25T21:34:27, 11.6875, 3.31, 0.0
2022-09-25T21:35:28, 11.6875, 4.93, 0.0
2022-09-25T21:36:29, 11.6875, 4.12, 0.0
2022-09-25T21:37:30, 11.625, 3.71, 0.0
2022-09-25T21:38:31, 11.625, 5.2, 0.0
2022-09-25T21:39:32, 11.625, 3.8, 0.0
2022-09-25T21:40:33, 11.625, 4.24, 0.0
2022-09-25T21:41:33, 11.5625, 3.08, 0.0
2022-09-25T21:42:34, 11.625, 3.77, 0.0
2022-09-25T21:43:35, 11.5625, 3.79, 0.0
2022-09-25T21:44:36, 11.5625, 3.18, 0.0
2022-09-25T21:45:37, 11.5, 2.94, 0.0
2022-09-25T21:46:38, 11.5, 4.0, 0.0
2022-09-25T21:47:39, 11.5, 1.74, 0.0
2022-09-25T21:48:40, 11.5, 3.07, 0.0
2022-09-25T21:49:41, 11.5625, 4.85, 0.0
2022-09-25T21:50:42, 11.5625, 5.03, 0.0
2022-09-25T21:51:43, 11.5625, 3.82, 0.0
2022-09-25T21:52:44, 11.5, 2.96, 0.0
2022-09-25T21:53:44, 11.5, 3.39, 0.0
2022-09-25T21:54:45, 11.5, 3.45, 0.0
2022-09-25T21:55:46, 11.5, 6.15, 0.0
2022-09-25T21:56:47, 11.5, 4.36, 0.0
2022-09-25T21:57:48, 11.4375, 3.75, 0.0
2022-09-25T21:58:49, 11.375, 1.62, 0.0
2022-09-25T21:59:50, 11.375, 3.69, 0.0
2022-09-25T22:00:51, 11.375, 4.42, 0.0
2022-09-25T22:01:52, 11.375, 4.14, 0.0
2022-09-25T22:02:53, 11.3125, 3.45, 0.0
2022-09-25T22:03:54, 11.3125, 2.94, 0.0
2022-09-25T22:04:55, 11.3125, 3.33, 0.0
2022-09-25T22:05:56, 11.375, 3.23, 0.0
2022-09-25T22:06:57, 11.375, 5.26, 0.0
2022-09-25T22:07:58, 11.375, 2.38, 0.0
2022-09-25T22:08:59, 11.3125, 2.56, 0.0
2022-09-25T22:09:59, 11.3125, 3.0, 0.0
2022-09-25T22:11:00, 11.25, 2.23, 0.0
2022-09-25T22:12:01, 11.1875, 3.65, 0.0
2022-09-25T22:13:02, 11.125, 4.77, 0.0
2022-09-25T22:14:03, 11.0, 5.98, 0.0
2022-09-25T22:15:04, 10.875, 5.31, 0.0
2022-09-25T22:16:05, 10.8125, 3.86, 0.0
2022-09-25T22:17:06, 10.8125, 4.32, 0.0
2022-09-25T22:18:07, 10.75, 4.91, 0.0
2022-09-25T22:19:08, 10.75, 2.88, 0.0
2022-09-25T22:20:09, 10.75, 2.98, 0.0
2022-09-25T22:21:10, 10.6875, 3.49, 0.0
2022-09-25T22:22:11, 10.6875, 2.98, 0.0
2022-09-25T22:23:11, 10.6875, 2.84, 0.0
2022-09-25T22:24:12, 10.6875, 4.79, 0.0
2022-09-25T22:25:13, 10.6875, 3.78, 0.0
2022-09-25T22:26:14, 10.6875, 5.42, 0.0
2022-09-25T22:27:15, 10.625, 4.0, 0.0
2022-09-25T22:28:16, 10.625, 4.77, 0.0
2022-09-25T22:29:17, 10.625, 2.8, 0.0
2022-09-25T22:30:18, 10.5625, 2.36, 0.0
2022-09-25T22:31:19, 10.5625, 2.5, 0.0
2022-09-25T22:32:20, 10.5, 3.33, 0.0
