Pi weather station data from codename elderberry, initialised Tue Sep 11 15:44:16 2018
Format YYYY-MM-DDTHH:MM:SS, Temperature [degC], Wind speed [km/h], Rainfall [mm]
Temperature is instantaneous, wind speed is averaged since previous measurement,
rainfall is accumulated since previous measurement.

time,temperature_degC,wind_speed_km/h,rainfall_mm
2018-09-11T16:22:00, 17.562, 0.0, 0.0
2018-09-11T16:22:21, 17.562, 0.0, 0.0
2018-09-11T16:22:42, 17.625, 0.0, 0.0
2018-09-11T16:23:03, 17.625, 0.0, 0.0
2018-09-11T16:23:23, 17.687, 0.0, 0.0
2018-09-11T16:23:44, 17.625, 0.0, 0.0
2018-09-11T16:24:05, 17.625, 0.0, 0.0
2018-09-11T16:24:26, 17.625, 0.0, 0.0
2018-09-11T16:24:47, 17.562, 0.0, 0.0
2018-09-11T16:25:08, 17.562, 0.0, 0.0
2018-09-11T16:25:29, 17.562, 0.0, 0.0
2018-09-11T16:25:50, 17.562, 0.0, 0.0
2018-09-11T16:26:11, 17.562, 0.0, 0.0
2018-09-11T16:26:32, 17.562, 0.0, 0.0
2018-09-11T16:26:53, 17.5, 0.0, 0.0
2018-09-11T16:27:14, 17.5, 0.0, 0.0
2018-09-11T16:27:35, 17.5, 0.0, 0.0
2018-09-11T16:27:56, 17.5, 0.0, 0.0
2018-09-11T16:28:17, 17.5, 0.0, 0.0
2018-09-11T16:28:38, 17.562, 0.0, 0.0
2018-09-11T16:28:58, 17.562, 0.0, 0.0
2018-09-11T16:29:19, 17.562, 0.0, 0.0
2018-09-11T16:29:40, 17.625, 0.0, 0.0
2018-09-11T16:30:01, 17.625, 0.0, 0.0
2018-09-11T16:30:22, 17.562, 0.0, 0.0
2018-09-11T16:30:43, 17.625, 0.0, 0.0
2018-09-11T16:31:04, 17.625, 0.0, 0.0
2018-09-11T16:31:25, 17.625, 0.0, 0.0
2018-09-11T16:31:46, 17.562, 0.0, 0.0
2018-09-11T16:32:07, 17.562, 0.0, 0.0
2018-09-11T16:32:28, 17.5, 0.0, 0.0
2018-09-11T16:32:49, 17.437, 0.0, 0.0
2018-09-11T16:33:10, 17.437, 0.0, 0.0
2018-09-11T16:33:31, 17.375, 0.0, 0.0
2018-09-11T16:33:52, 17.312, 0.0, 0.0
2018-09-11T16:34:13, 17.25, 0.0, 0.0
2018-09-11T16:34:34, 17.25, 0.0, 0.0
2018-09-11T16:34:55, 17.187, 0.0, 0.0
2018-09-11T16:35:16, 17.125, 0.0, 0.0
2018-09-11T16:35:37, 17.125, 0.0, 0.0
2018-09-11T16:35:57, 17.062, 0.0, 0.0
2018-09-11T16:36:18, 17.062, 0.0, 0.0
2018-09-11T16:36:39, 17.0, 0.0, 0.0
2018-09-11T16:37:00, 17.0, 0.0, 0.0
2018-09-11T16:37:21, 17.0, 0.0, 0.0
2018-09-11T16:37:42, 17.0, 0.0, 0.0
2018-09-11T16:38:03, 17.0, 0.0, 0.0
2018-09-11T16:38:24, 17.0, 0.0, 0.0
2018-09-11T16:38:45, 17.0, 0.0, 0.0
2018-09-11T16:39:06, 17.0, 0.0, 0.0
2018-09-11T16:39:27, 17.0, 0.0, 0.28
2018-09-11T16:39:48, 16.937, 0.0, 0.0
2018-09-11T16:40:09, 16.875, 0.0, 0.0
2018-09-11T16:40:30, 16.812, 0.0, 0.0
2018-09-11T16:40:51, 16.75, 0.0, 0.0
2018-09-11T16:41:12, 16.75, 0.0, 0.0
2018-09-11T16:41:33, 16.75, 0.0, 0.0
2018-09-11T16:41:53, 16.75, 0.0, 0.0
2018-09-11T16:42:14, 16.75, 0.0, 0.0
2018-09-11T16:42:35, 16.75, 0.0, 0.0
2018-09-11T16:42:56, 16.75, 0.0, 0.0
2018-09-11T16:43:17, 16.75, 0.0, 0.0
2018-09-11T16:43:38, 16.75, 0.0, 0.0
2018-09-11T16:43:59, 16.75, 0.0, 0.0
2018-09-11T16:44:20, 16.75, 0.0, 0.0
2018-09-11T16:44:41, 16.812, 0.0, 0.0
2018-09-11T16:45:02, 16.75, 0.0, 0.0
2018-09-11T16:45:23, 16.812, 0.0, 0.0
2018-09-11T16:45:44, 16.812, 0.0, 0.0
2018-09-11T16:46:05, 16.812, 0.0, 0.0
2018-09-11T16:46:26, 16.812, 0.0, 0.0
2018-09-11T16:46:47, 16.812, 0.0, 0.0
2018-09-11T16:47:08, 16.75, 0.0, 0.0
2018-09-11T16:47:29, 16.75, 0.0, 0.0
2018-09-11T16:47:50, 16.75, 0.0, 0.0
2018-09-11T16:48:11, 16.75, 0.0, 0.0
2018-09-11T16:48:31, 16.75, 0.0, 0.0
2018-09-11T16:48:52, 16.75, 0.0, 0.0
2018-09-11T16:49:13, 16.75, 0.0, 0.0
2018-09-11T16:49:34, 16.687, 0.0, 0.0
2018-09-11T16:49:56, 16.687, 0.0, 0.0
2018-09-11T16:50:17, 16.75, 0.0, 0.0
2018-09-11T16:50:38, 16.75, 0.0, 0.0
2018-09-11T16:50:59, 16.75, 0.0, 0.0
2018-09-11T16:51:20, 16.75, 0.0, 0.0
2018-09-11T16:51:41, 16.75, 0.0, 0.0
2018-09-11T16:52:02, 16.75, 0.0, 0.0
2018-09-11T16:52:23, 16.75, 0.0, 0.0
2018-09-11T16:52:44, 16.75, 0.0, 0.0
2018-09-11T16:53:05, 16.812, 0.0, 0.0
2018-09-11T16:53:26, 16.75, 0.0, 0.0
2018-09-11T16:53:47, 16.812, 0.0, 0.0
2018-09-11T16:54:07, 16.812, 0.0, 0.0
2018-09-11T16:54:28, 16.812, 0.0, 0.0
2018-09-11T16:54:49, 16.812, 0.0, 0.0
2018-09-11T16:55:10, 16.875, 0.0, 0.0
2018-09-11T16:55:31, 16.875, 0.0, 0.0
2018-09-11T16:55:52, 16.812, 0.0, 0.0
2018-09-11T16:56:13, 16.75, 0.0, 0.0
2018-09-11T16:56:34, 16.75, 0.0, 0.0
2018-09-11T16:56:55, 16.75, 0.0, 0.0
2018-09-11T16:57:16, 16.75, 0.0, 0.0
2018-09-11T16:57:37, 16.75, 0.0, 0.0
2018-09-11T16:57:58, 16.75, 0.0, 0.0
2018-09-11T16:58:19, 16.812, 0.0, 0.0
2018-09-11T16:58:40, 16.812, 0.0, 0.0
2018-09-11T16:59:01, 16.812, 0.0, 0.0
2018-09-11T16:59:22, 16.812, 0.0, 0.0
2018-09-11T16:59:43, 16.812, 0.0, 0.0
2018-09-11T17:00:04, 16.812, 0.0, 0.0
2018-09-11T17:00:25, 16.75, 0.0, 0.0
2018-09-11T17:00:45, 16.812, 0.0, 0.0
2018-09-11T17:01:06, 16.812, 0.0, 0.0
2018-09-11T17:01:27, 16.812, 0.0, 0.0
2018-09-11T17:01:48, 16.812, 0.0, 0.0
2018-09-11T17:02:09, 16.812, 0.0, 0.0
2018-09-11T17:02:30, 16.812, 0.0, 0.0
2018-09-11T17:02:51, 16.812, 0.0, 0.0
2018-09-11T17:03:12, 16.812, 0.0, 0.0
2018-09-11T17:03:33, 16.812, 0.0, 0.0
2018-09-11T17:03:54, 16.875, 0.0, 0.0
2018-09-11T17:04:15, 16.875, 0.0, 0.0
2018-09-11T17:04:36, 16.875, 0.0, 0.0
2018-09-11T17:04:57, 16.875, 0.0, 0.0
2018-09-11T17:05:18, 16.937, 0.0, 0.0
2018-09-11T17:05:39, 16.937, 0.0, 0.0
