Pi weather station data from codename roady, initialised Tue Sep 11 17:00:24 2018
Format YYYY-MM-DDTHH:MM:SS, Temperature [degC], Wind speed [km/h], Rainfall [mm]
Temperature is instantaneous, wind speed is averaged since previous measurement,
rainfall is accumulated since previous measurement.

time,temperature_degC,wind_speed_km/h,rainfall_mm
2018-09-11T17:25:28, 18.562, 1.73, 0.0
2018-09-11T17:25:42, 18.562, 1.47, 0.0
2018-09-11T17:25:56, 18.562, 1.55, 0.0
2018-09-11T17:26:10, 18.562, 2.07, 0.0
2018-09-11T17:26:24, 18.625, 0.86, 0.0
2018-09-11T17:26:38, 18.625, 0.78, 0.0
2018-09-11T17:26:52, 18.625, 0.69, 0.0
2018-09-11T17:27:06, 18.625, 0.69, 0.0
2018-09-11T17:27:19, 18.625, 1.64, 0.0
2018-09-11T17:27:33, 18.687, 0.43, 0.0
2018-09-11T17:27:47, 18.625, 0.35, 0.0
2018-09-11T17:28:01, 18.625, 0.78, 0.0
2018-09-11T17:28:15, 18.625, 1.38, 0.0
2018-09-11T17:28:29, 18.625, 1.29, 0.0
2018-09-11T17:28:43, 18.562, 1.64, 0.0
2018-09-11T17:28:57, 18.562, 1.64, 0.0
2018-09-11T17:29:11, 18.562, 0.6, 0.0
2018-09-11T17:29:25, 18.562, 0.35, 0.0
2018-09-11T17:29:39, 18.562, 0.17, 0.0
2018-09-11T17:29:53, 18.562, 0.69, 0.0
2018-09-11T17:30:06, 18.562, 0.95, 0.0
2018-09-11T17:30:20, 18.562, 0.95, 0.0
2018-09-11T17:30:34, 18.562, 0.95, 0.0
2018-09-11T17:30:48, 18.562, 0.95, 0.0
2018-09-11T17:31:02, 18.5, 2.67, 0.0
2018-09-11T17:31:16, 18.5, 1.81, 0.0
2018-09-11T17:31:30, 18.5, 1.9, 0.0
2018-09-11T17:31:44, 18.437, 2.5, 0.0
2018-09-11T17:31:58, 18.437, 2.24, 0.0
2018-09-11T17:32:13, 18.5, 0.95, 0.0
2018-09-11T17:32:27, 18.5, 0.57, 0.0
2018-09-11T17:32:40, 18.5, 1.47, 0.0
2018-09-11T17:32:54, 18.437, 3.45, 0.0
2018-09-11T17:33:08, 18.437, 3.11, 0.0
2018-09-11T17:33:23, 18.437, 2.67, 0.0
2018-09-11T17:33:37, 18.5, 1.3, 0.0
2018-09-11T17:33:51, 18.562, 0.17, 0.0
2018-09-11T17:34:05, 18.562, 0.09, 0.0
2018-09-11T17:34:19, 18.562, 1.04, 0.0
2018-09-11T17:34:33, 18.562, 1.55, 0.0
2018-09-11T17:34:47, 18.5, 2.33, 0.0
2018-09-11T17:35:01, 18.5, 1.64, 0.0
2018-09-11T17:35:14, 18.562, 0.95, 0.0
2018-09-11T17:35:28, 18.5, 2.42, 0.0
2018-09-11T17:35:42, 18.562, 0.78, 0.0
2018-09-11T17:35:56, 18.562, 0.52, 0.0
2018-09-11T17:36:10, 18.562, 1.38, 0.0
2018-09-11T17:36:24, 18.5, 2.41, 0.0
2018-09-11T17:36:38, 18.437, 2.68, 0.0
2018-09-11T17:36:52, 18.437, 1.12, 0.0
2018-09-11T17:37:06, 18.437, 1.9, 0.0
2018-09-11T17:37:20, 18.437, 1.55, 0.0
2018-09-11T17:37:34, 18.437, 0.52, 0.0
2018-09-11T17:37:48, 18.437, 0.95, 0.0
2018-09-11T17:38:02, 18.375, 1.04, 0.0
2018-09-11T17:38:15, 18.437, 0.69, 0.0
2018-09-11T17:38:29, 18.437, 0.35, 0.0
2018-09-11T17:38:43, 18.437, 0.6, 0.0
2018-09-11T17:38:57, 18.437, 0.6, 0.0
2018-09-11T17:39:11, 18.437, 0.6, 0.0
2018-09-11T17:39:25, 18.375, 0.43, 0.0
2018-09-11T17:39:39, 18.375, 0.6, 0.0
2018-09-11T17:39:53, 18.375, 0.78, 0.0
2018-09-11T17:40:07, 18.375, 0.95, 0.0
2018-09-11T17:40:21, 18.375, 0.86, 0.0
2018-09-11T17:40:35, 18.375, 1.04, 0.0
2018-09-11T17:40:49, 18.375, 1.73, 0.0
2018-09-11T17:41:02, 18.375, 2.67, 0.0
2018-09-11T17:41:16, 18.312, 1.9, 0.0
2018-09-11T17:41:30, 18.375, 0.6, 0.0
2018-09-11T17:41:44, 18.375, 0.43, 0.0
2018-09-11T17:41:58, 18.437, 1.04, 0.0
2018-09-11T17:42:12, 18.437, 1.04, 0.0
2018-09-11T17:42:26, 18.437, 0.78, 0.0
2018-09-11T17:42:40, 18.437, 1.64, 0.0
2018-09-11T17:42:54, 18.5, 0.86, 0.0
2018-09-11T17:43:08, 18.5, 0.69, 0.0
2018-09-11T17:43:22, 18.5, 1.04, 0.0
2018-09-11T17:43:36, 18.437, 3.11, 0.0
2018-09-11T17:43:50, 18.437, 2.24, 0.0
2018-09-11T17:44:03, 18.437, 1.55, 0.0
2018-09-11T17:44:17, 18.437, 2.07, 0.0
2018-09-11T17:44:31, 18.5, 1.47, 0.0
2018-09-11T17:44:45, 18.5, 1.9, 0.0
2018-09-11T17:44:59, 18.5, 1.47, 0.0
2018-09-11T17:45:13, 18.562, 0.69, 0.0
2018-09-11T17:45:27, 18.625, 0.6, 0.0
2018-09-11T17:45:41, 18.625, 0.95, 0.0
2018-09-11T17:45:55, 18.625, 0.78, 0.0
2018-09-11T17:46:09, 18.625, 0.6, 0.0
2018-09-11T17:46:23, 18.625, 1.29, 0.0
2018-09-11T17:46:37, 18.562, 3.02, 0.0
2018-09-11T17:46:50, 18.562, 1.64, 0.0
2018-09-11T17:47:04, 18.625, 0.86, 0.0
2018-09-11T17:47:18, 18.562, 4.49, 0.0
2018-09-11T17:47:32, 18.562, 2.59, 0.0
2018-09-11T17:47:46, 18.562, 3.11, 0.0
2018-09-11T17:48:00, 18.562, 1.12, 0.0
2018-09-11T17:48:14, 18.625, 0.6, 0.0
2018-09-11T17:48:28, 18.625, 0.78, 0.0
2018-09-11T17:48:42, 18.625, 0.43, 0.0
2018-09-11T17:48:56, 18.562, 0.86, 0.0
2018-09-11T17:49:10, 18.562, 1.21, 0.0
2018-09-11T17:49:24, 18.5, 1.12, 0.0
2018-09-11T17:49:38, 18.5, 1.29, 0.0
2018-09-11T17:49:51, 18.5, 0.95, 0.0
2018-09-11T17:50:05, 18.437, 1.81, 0.0
2018-09-11T17:50:19, 18.375, 1.81, 0.0
2018-09-11T17:50:33, 18.375, 2.24, 0.0
2018-09-11T17:50:47, 18.375, 2.59, 0.0
2018-09-11T17:51:01, 18.312, 2.42, 0.0
2018-09-11T17:51:15, 18.312, 3.19, 0.0
2018-09-11T17:51:29, 18.312, 2.85, 0.0
2018-09-11T17:51:43, 18.25, 1.55, 0.0
2018-09-11T17:51:57, 18.312, 0.6, 0.0
2018-09-11T17:52:11, 18.312, 1.04, 0.0
2018-09-11T17:52:25, 18.25, 1.73, 0.0
2018-09-11T17:52:38, 18.25, 1.29, 0.0
2018-09-11T17:52:52, 18.25, 0.52, 0.0
2018-09-11T17:53:06, 18.25, 0.69, 0.0
